brushes,toothbrush,teeth
(980.0, 566.0)
(1166.0, 518.0)
(1219.0, 492.0)
(1206.0, 480.0)
(1184.0, 475.0)
(1134.0, 487.0)
(1065.0, 511.0)
(993.0, 533.0)
(955.0, 552.0)
(986.0, 567.0)
(986.0, 569.0)




razor
(506.0, 437.0)
(502.0, 467.0)
(525.0, 466.0)
(545.0, 457.0)
(570.0, 480.0)
(596.0, 538.0)
(626.0, 571.0)
(692.0, 583.0)
(647.0, 534.0)
(607.0, 475.0)
(590.0, 436.0)
(584.0, 416.0)
(575.0, 391.0)
(542.0, 399.0)
(503.0, 426.0)
(504.0, 441.0)
(504.0, 441.0)




combing
(526.0, 2.0)
(574.0, 53.0)
(605.0, 106.0)
(630.0, 126.0)
(647.0, 131.0)
(663.0, 105.0)
(624.0, 34.0)
(592.0, 9.0)
(522.0, 2.0)
(523.0, 2.0)




mirror,reflection,reflections
(672.0, 466.0)
(706.0, 280.0)
(733.0, 240.0)
(774.0, 154.0)
(822.0, 107.0)
(896.0, 38.0)
(956.0, 21.0)
(1035.0, 20.0)
(1107.0, 38.0)
(1184.0, 87.0)
(1258.0, 151.0)
(1299.0, 263.0)
(1314.0, 309.0)
(1356.0, 518.0)
(1359.0, 626.0)
(1352.0, 732.0)
(1312.0, 850.0)
(1249.0, 995.0)
(1218.0, 1039.0)
(1209.0, 1044.0)
(1166.0, 860.0)
(897.0, 660.0)
(853.0, 651.0)
(819.0, 644.0)
(791.0, 612.0)
(767.0, 562.0)
(754.0, 543.0)
(681.0, 499.0)
(670.0, 484.0)
(672.0, 462.0)
(672.0, 460.0)




shirt,shirts,white
(321.0, 406.0)
(389.0, 501.0)
(413.0, 578.0)
(424.0, 557.0)
(497.0, 564.0)
(524.0, 565.0)
(550.0, 511.0)
(563.0, 484.0)
(597.0, 544.0)
(573.0, 569.0)
(590.0, 595.0)
(620.0, 602.0)
(600.0, 635.0)
(624.0, 635.0)
(610.0, 695.0)
(723.0, 781.0)
(803.0, 812.0)
(825.0, 801.0)
(852.0, 709.0)
(833.0, 655.0)
(926.0, 678.0)
(958.0, 666.0)
(984.0, 635.0)
(1006.0, 656.0)
(1029.0, 656.0)
(1038.0, 620.0)
(1078.0, 583.0)
(1178.0, 551.0)
(1187.0, 562.0)
(1207.0, 589.0)
(1246.0, 583.0)
(1286.0, 563.0)
(1325.0, 547.0)
(1360.0, 555.0)
(1326.0, 804.0)
(1157.0, 857.0)
(1191.0, 967.0)
(1221.0, 993.0)
(1225.0, 1023.0)
(321.0, 1046.0)
(318.0, 406.0)
(326.0, 411.0)
(327.0, 408.0)




cream,shaving
(452.0, 475.0)
(430.0, 523.0)
(445.0, 546.0)
(493.0, 570.0)
(522.0, 561.0)
(550.0, 513.0)
(565.0, 473.0)
(589.0, 417.0)
(603.0, 360.0)
(593.0, 332.0)
(578.0, 287.0)
(566.0, 273.0)
(526.0, 355.0)
(490.0, 395.0)
(459.0, 480.0)
(444.0, 496.0)
(443.0, 498.0)




cream,shaving
(1206.0, 442.0)
(1242.0, 442.0)
(1263.0, 441.0)
(1258.0, 466.0)
(1275.0, 490.0)
(1279.0, 501.0)
(1240.0, 524.0)
(1206.0, 543.0)
(1175.0, 550.0)
(1160.0, 550.0)
(1152.0, 536.0)
(1139.0, 520.0)
(1125.0, 488.0)
(1118.0, 457.0)
(1164.0, 446.0)
(1203.0, 442.0)
(1206.0, 445.0)




guy,guys,multiple,people,persons
(595.0, 41.0)
(639.0, 69.0)
(670.0, 82.0)
(745.0, 133.0)
(768.0, 195.0)
(761.0, 231.0)
(739.0, 255.0)
(711.0, 285.0)
(663.0, 456.0)
(672.0, 483.0)
(681.0, 495.0)
(744.0, 530.0)
(774.0, 592.0)
(814.0, 650.0)
(835.0, 657.0)
(871.0, 662.0)
(889.0, 659.0)
(910.0, 637.0)
(930.0, 595.0)
(932.0, 559.0)
(957.0, 525.0)
(1000.0, 491.0)
(1039.0, 479.0)
(1056.0, 474.0)
(1089.0, 493.0)
(1104.0, 512.0)
(1120.0, 509.0)
(1133.0, 493.0)
(1109.0, 441.0)
(1104.0, 396.0)
(1100.0, 361.0)
(1100.0, 308.0)
