plates
(441.0, 487.0)
(457.0, 559.0)
(501.0, 586.0)
(559.0, 584.0)
(643.0, 556.0)
(663.0, 546.0)
(665.0, 472.0)
(648.0, 429.0)
(612.0, 413.0)
(566.0, 409.0)
(507.0, 413.0)
(464.0, 433.0)
(447.0, 456.0)
(441.0, 484.0)
(438.0, 492.0)
(440.0, 493.0)




alcohol,beverages,bottles,champagne,drinks,wine
(480.0, 137.0)
(488.0, 122.0)
(510.0, 121.0)
(522.0, 138.0)
(537.0, 195.0)
(552.0, 269.0)
(565.0, 310.0)
(572.0, 348.0)
(581.0, 380.0)
(580.0, 400.0)
(533.0, 406.0)
(504.0, 410.0)
(489.0, 397.0)
(467.0, 328.0)
(451.0, 263.0)
(476.0, 225.0)
(480.0, 184.0)
(478.0, 138.0)
(764.0, 538.0)




forks,utensils
(649.0, 558.0)
(514.0, 595.0)
(519.0, 628.0)
(537.0, 668.0)
(594.0, 666.0)
(610.0, 656.0)
(622.0, 648.0)
(627.0, 637.0)
(648.0, 594.0)
(658.0, 547.0)
(660.0, 547.0)




smile,smiling
(1094.0, 449.0)
(1153.0, 438.0)
(1204.0, 440.0)
(1205.0, 469.0)
(1152.0, 505.0)
(1110.0, 507.0)
(1098.0, 497.0)
(1097.0, 461.0)
(1098.0, 448.0)
(1099.0, 453.0)




Iron,Ironman,Man,cake,cakes,red
(60.0, 730.0)
(121.0, 712.0)
(178.0, 699.0)
(243.0, 701.0)
(261.0, 728.0)
(272.0, 784.0)
(276.0, 811.0)
(233.0, 837.0)
(159.0, 863.0)
(69.0, 871.0)
(48.0, 869.0)
(47.0, 730.0)
(62.0, 729.0)
(63.0, 729.0)




cake,cakes,cut,cuts,cutting,knife,photo,slicing,face,hat,red
(269.0, 807.0)
(549.0, 735.0)
(567.0, 773.0)
(593.0, 839.0)
(572.0, 920.0)
(571.0, 978.0)
(557.0, 1019.0)
(562.0, 1044.0)
(279.0, 1046.0)
(250.0, 870.0)
(285.0, 797.0)
(284.0, 795.0)




arm,black,dress,face,female,gesturing,girl,hand,hands,holding,ladies,laughing,people,shirt,sitting,strap,tank,young
(616.0, 674.0)
(659.0, 525.0)
(785.0, 352.0)
(889.0, 250.0)
(959.0, 248.0)
(998.0, 254.0)
(1018.0, 252.0)
(1028.0, 185.0)
(1131.0, 127.0)
(1233.0, 78.0)
(1340.0, 110.0)
(1374.0, 194.0)
(1408.0, 291.0)
(1462.0, 376.0)
(1499.0, 495.0)
(1550.0, 669.0)
(1548.0, 822.0)
(1545.0, 1001.0)
(1535.0, 1036.0)
(995.0, 1046.0)
(1006.0, 1004.0)
(1082.0, 956.0)
(1072.0, 898.0)
(1095.0, 733.0)
(1119.0, 669.0)
(1104.0, 624.0)
(1072.0, 520.0)
(1064.0, 461.0)
(1053.0, 424.0)
(1042.0, 397.0)
(948.0, 356.0)
(914.0, 354.0)
(814.0, 483.0)
(748.0, 544.0)
(740.0, 590.0)
(743.0, 605.0)
(725.0, 690.0)
(729.0, 723.0)
(706.0, 720.0)
(695.0, 703.0)
(695.0, 670.0)
(662.0, 683.0)
(635.0, 704.0)
(611.0, 687.0)
(616.0, 667.0)
(618.0, 667.0)




sunglasses
(1140.0, 100.0)
(1128.0, 126.0)
(1164.0, 132.0)
(1231.0, 137.0)
(1285.0, 143.0)
(1312.0, 155.0)
(1342.0, 213.0)
(1358.0, 259.0)
(1381.0, 276.0)
(1381.0, 236.0)
(1341.0, 121.0)
(1318.0, 86.0)
(1261.0, 70.0)
(1183.0, 78.0)
(1142.0, 99.0)
(1140.0, 104.0)




candles
(387.0, 583.0)
(373.0, 625.0)
(389.0, 664.0)
(411.0, 680.0)
(444.0, 673.0)
(469.0, 622.0)
(462.0, 586.0)
(431.0, 564.0)
(398.0, 575.0)
(387.0, 588.0)
(387.0, 590.0)




bar,drinks,flutes,glasses,table,tables
(141.0, 588.0)
(843.0, 5.0)
(1201.0, 20.0)
(1112.0, 133.0)
(998.0, 246.0)
(886.0, 247.0)
(766.0, 327.0)
(723.0, 425.0)
(666.0, 509.0)
(620.0, 675.0)
(613.0, 726.0)
(567.0, 759.0)
(515.0, 740.0)
(308.0, 791.0)
(185.0, 662.0)
(144.0, 583.0)
(146.0, 584.0)




friends,people,shirt,striped
(1387.0, 203.0)
(1428.0, 134.0)
(1506.0, 70.0)
(1527.0, 77.0)
(1601.0, 393.0)
(1593.0, 509.0)
(1528.0, 539.0)
(1459.0, 387.0)
(1427.0, 313.0)
(1401.0, 247.0)
(1390.0, 209.0)
(1390.0, 207.0)




big,knife,large
(537.0, 814.0)
(577.0, 833.0)
(600.0, 823.0)
(647.0, 790.0)
(684.0, 745.0)
(695.0, 713.0)
(710.0, 691.0)
(728.0, 674.0)
(779.0, 607.0)
(802.0, 569.0)
(856.0, 537.0)
(896.0, 499.0)
(927.0, 462.0)
(953.0, 421.0)
(940.0, 379.0)
(925.0, 366.0)
(887.0, 382.0)
(836.0, 424.0)
(800.0, 456.0)
(769.0, 496.0)
(745.0, 533.0)
(731.0, 566.0)
(692.0, 615.0)
(661.0, 665.0)
(622.0, 703.0)
(589.0, 732.0)
(568.0, 772.0)
(547.0, 799.0)
(539.0, 811.0)
(539.0, 811.0)







